
Descriptive statistics for software pereferences.
-------Graduate dates of 2020 or later.----------
       My_Java  My_JS  My_Python    My_R  My_SAS  \
count     5.00   5.00       5.00   5.000   5.000   
mean      9.00  11.00      35.60  30.600  13.800   
std      12.45  12.45      16.41  14.639   9.602   
min       0.00   0.00      10.00  10.000   0.000   
25%       0.00   0.00      33.00  25.000  10.000   
50%       5.00  10.00      35.00  33.000  14.000   
75%      10.00  15.00      50.00  35.000  20.000   
max      30.00  30.00      50.00  50.000  25.000   

       Prof_Java  Prof_JS  Prof_Python  Prof_R  Prof_SAS  \
count      5.000    5.000         5.00   5.000     5.000   
mean       4.400   13.600        30.80  25.600    25.600   
std        6.066   21.031        17.05  13.107     5.857   
min        0.000    0.000         5.00   5.000    20.000   
25%        0.000    0.000        25.00  25.000    20.000   
50%        0.000    5.000        34.00  25.000    25.000   
75%       10.000   13.000        40.00  33.000    30.000   
max       12.000   50.000        50.00  40.000    33.000   

       Ind_Java  Ind_JS  Ind_Python   Ind_R  Ind_SAS  
count     5.000   5.000       5.000   5.000    5.000  
mean      8.000  21.000      33.000  19.000   19.000  
std       7.583  20.125      21.095  13.416    7.416  
min       0.000   0.000       5.000   5.000   10.000  
25%       5.000   5.000      20.000  10.000   15.000  
50%       5.000  20.000      40.000  20.000   20.000  
75%      10.000  30.000      40.000  20.000   20.000  
max      20.000  50.000      60.000  40.000   30.000  
